"","Category","Senate.Hearing.Number","Congress","Committees","Committee_Blanks","Title","Collection","Filename","Held.Date","Congress.Chamber","Hearing.Sub.Type","ILS.System.ID","SuDoc.Class.Number","X","Witnesses","Members.of.the.congress","File.exists","heldDate","Scrapped.witnesses","Agency","JK.code","UA.code","Parent.UA.code","US.State","Inspector.General","subCommittee","Committee.member.count","Denominator.count","Party.count.100.200.328.999.9999.","Party...Committee.info.Party.Senior.Party.Member.Committee.Seniority","Expertise"
"13294","Congressional Committee Materials",NA,"110th","192",NA,"HOUSE HEARING, 110TH CONGRESS - LEGISLATIVE HEARING ON H.R. 156, H.R. 585, AND H.R. 704","Congressional Hearings","CHRG-110hhrg37466","19-Jun-07","House of Representatives","General",NA,"Y 4.V 64/3",NA,"American Legion Steve Smithson : Deputy Director for Claims Services Veterans Affairs and Rehabilitation Commission;

American Veterans (AMVETS) Jim King : Executive Director;

U.S. Department of Veterans Affairs Jack McCoy : Associate Deputy Under Secretary for Policy and Program Management Veterans Benefits Administration;

Iraq and Afghanistan Veterans of America Todd Bowers : Director of Government Affairs;

American Ex-Prisoners of War Norman Bussel : National Service Officer;

Gold Star Wives of America Inc. : Vivianne Cisneros Wersel Member Government Relations Committee;

Wounded Warrior Project Meredith Beck : National Policy Director;

Vietnam Veterans of America Sharon Hodge : Associate Director of Government Affairs;","Gus M. Bilirakis : United States House of Representatives;

holden, tim;

Ciro D. Rodriguez : United States House of Representatives;

herseth sandlin, stephanieherseth, stephanie;

John J. Hall : United States House of Representatives;

Phil Hare : United States House of Representatives;","Yes","19-06-2007","-","-

-

Department of Veterans Affairs

-

-

-

-

-","-

-

200

-

-

-

-

-","-

-

2900.0

-

-

-

-

-","-

-

2900.0

-

-

-

-

-","-

-

-

-

-

-

-

-","No

No

No

No

No

No

No

No","Subcommittee on Disability Assistance and Memorial Affairs",6,"33","17:16:-:-:-","---

---

---

---

---

---","-

-

-

-

-

-

-

-"
"12611","Congressional Committee Materials",NA,"110th","196",NA,"HOUSE HEARING, 110TH CONGRESS - PROMOTING U.S. WORKER COMPETITIVENESS IN A GLOBALIZED ECONOMY","Congressional Hearings","CHRG-110hhrg43113","14-Jun-07","House of Representatives","General",NA,"Y 4.W 36",NA,"Karen Pollitz Research Professor : Health Policy Institute Georgetown University;

Jane M. McDonald-Pines Workforce Policy Specialist : American Federation of Labor and Congress of Industrial Organizations;

James Fusco East Brunswick : New Jersey;

Diana Furchtgott-Roth Senior Fellow and Director of Center for Employment Policy : Hudson Institute;

Tammy Flynn Trade Adjustment Assistance State Coordinator : Bureau of Workforce Programs Department of Labor and Economic Growth Lansing Michigan;

David R. Williams Director of Electronic Tax Administration and Refundable Credits : Internal Revenue Service;

John Edward Bolas Jr. : Freedom Pennsylvania;

Curtis Morrow Workforce Development Unit Manager : North Carolina Employment Security Commission Raleigh North Carolina;

Howard Rosen Executive Director : Trade Adjustment Assistance Coalition;

Marcus Courtney President : Washington Alliance of Technology Workers Seattle Washington;

Sigurd R. Nilsen Ph.D. : Director for Education Workforce and Income Security Issues Government Accountability Office;

The Honorable Mason M. Bishop Deputy Assistant Secretary : Employment and Training Administration Department of Labor;

Virginia Ponser Flanagan Consultant : Campbellsville University Campbellsville Kentucky;","pascrell, william j, jr;

weller, gerald c jerry;

Jim McCrery : United States House of Representatives;

Fortney Pete Stark : United States House of Representatives;

Jim Ramstad : United States House of Representatives;

Phil English : United States House of Representatives;

Sam Johnson : United States House of Representatives;

John Lewis : United States House of Representatives;

mcdermott, james amcdermott, james;

Patrick J. Tiberi : United States House of Representatives;

Artur Davis : United States House of Representatives;

Ron Kind : United States House of Representatives;

Charles B. Rangel : United States House of Representatives;

Ron Lewis : United States House of Representatives;

Sander M. Levin : United States House of Representatives;

Wally Herger : United States House of Representatives;","Yes","14-06-2007","-","-

-

-

-

Department of Labor

Internal Revenue Service

-

-

-

-

-

Department of Labor

-","-

-

-

-

98

123

-

-

-

-

-

98

-","-

-

-

-

1200.0

1545.0

-

-

-

-

-

1200.0

-","-

-

-

-

1200.0

1500.0

-

-

-

-

-

1200.0

-","#NAME?","No

No

No

No

No

No

No

No

No

No

No

No

No","-",16,"41","24:17:-:-:-","---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---","-

-

-

-

-

-

-

-

-

-

Ph.D. : Doctor of Philosophy

-

-"
"11682","Congressional Committee Materials","S. Hrg. 109-819","109th","305",NA,"S. HRG. 109-819 - REVIEW NOMINATIONS FOR USDA, CFTC AND FARM CREDIT ADMINISTRATION","Congressional Hearings","CHRG-109shrg33562","6-Dec-06","Senate","General",NA,"Y 4.AG 8/3",NA,"Refer column R","Tom Harkin : United States Senate;

Norm Coleman : United States Senate;

Thad Cochran : United States Senate;

salazar, kenneth lee;

Saxby Chambliss : United States Senate;","Yes","6/12/06","Keenum, Mark E., Nominee for Under Secretary for Farm and Foreign Agricultural Services, U.S. Department of Agriculture

Sommers, Jill E., Nominee to be Commissioner of the Commodity Futures Trading Commission

Strom, Leland A., Nominee for the Board of the Farm Credit Administration

---------- ","Department of Agriculture

-

Farm Credit Administration

-","11

-

215

-","500.0

-

3052.0

-","500.0

-

3052.0

-","-

-

-

-","No

No

No

No","-",5,"20","9:11:-:-:-","---

---

---

100:0:1

---","-"
"5554","Congressional Committee Materials","S. Hrg. 108-285","108th","344",NA,"S. HRG. 108-285 - SAFEGUARDING AMERICA'S RETIREMENT SECURITY: AN EXAMINATION OF DEFINED BENEFIT PENSION PLANS AND THE PENSION BENEFIT GUARANTY CORPORATION","Congressional Hearings","CHRG-108shrg90233","15-Sep-03","Senate","General",NA,"Y 4.G 74/9",NA,"Steven A. Kandarian Executive Director : Pension Benefit Guaranty Corporation;

Norman P. Stein Law Professor : University of Alabama on behalf of the Pension Rights Center;

Kathy Anne Cissna Director of Retirement Plans : R.J. Reynolds on behalf of the American Benefits Council;

J. Mark Iwry Senior Fellow : The Brookings Institution;

Peter R. Fisher Under Secretary for Domestic Finance : U.S. Department of the Treasury;

Malcolm Wicks Minister for Pensions : British Government;

JoOhn P. Parks Vice President : Pension Practice Council American Academy of Actuaries;

Christopher W. O'Flinn Vice President : Corporate Human Resources AT&T on behalf of the ERISA Industry Committee;","Peter Fitzgerald : United States Senate;

Daniel K. Akaka : United States Senate;","Yes","15-09-2003","-","Pension Benefit Guaranty Corporation

-

-

-

Department of the Treasury

-

-

-","112

-

-

-

114

-

-

-","1212.0

-

-

-

1500.0

-

-

-","1212.0

-

-

-

1500.0

-

-

-","-

Alabama

-

-

-

-

-

-","No

No

No

No

No

No

No

No","Financial Management, the Budget, and International Security Subcommittee",2,"17","8:9:-:-:-","---

---","-

-

-

-

-

-

-

-"
"20045","Congressional Committee Materials",NA,"106th","134",NA,"HOUSE HEARING, 106TH CONGRESS - HUMAN RIGHTS IN CHINA AND TIBET","Congressional Hearings","CHRG-106hhrg65151","2-Mar-00","House of Representatives","General",NA,"Y 4.IN 8/16",NA,"Mr. Xiao Qiang Executive Director : Human Rights in China;

Ms. Reyila Abudureyim Daughter of Rebiya Kadeer : Uighur Muslim detainee in China;

Mr. Harry Wu President : Laogai Research Institute former detainee in China;

Ms. Tracey Zhao Falun Gong Practitioner : former detainee in China;

Mr. Bhuchung Tsering Director : International Campaign for Tibet;

Mr. John J. Sweeney President : The American Federation of Labor- Congress of Industrial Organizations AFL-CIO;

Mr. Song Yong Yi Librarian and Researcher : Dickinson College former detainee in China;","Christopher H. Smith : United States House of Representatives;

William F. Goodling : United States House of Representatives;

wolf, frank r;","Yes","2/3/00","-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","No

No

No

No

No

No

No","Subcommittee on International Operations and Human Rights",3,"49","22:26:-:-:1","---

---

---","-

-

-

-

-

-

-"
"20873","Congressional Committee Materials",NA,"110th","128",NA,"HOUSE HEARING, 110TH CONGRESS - WIRELESS INNOVATION AND CONSUMER PROTECTION","Congressional Hearings","CHRG-110hhrg43548","11-Jul-07","House of Representatives","General",NA,"Y 4.C 73/8",NA,"Steven E. Zipperstein general counsel : Verizon Wireless Washington DC;

Edward Evans chief executive officer : Stelera Wireless Oklahoma City OK;

Chris Murray senior counsel : Consumers Union;

Tony Clark commissioner : North Dakota Public Service Commission Bismarck ND;

Jason Devitt co-founder and former chief executive officer : Skydeck; member Wireless Founders Coalition for Innovation;

Philip L. Verveer partner : Willkie Farr & Gallagher Washington DC;

Timothy Wu professor of Law : Columbia Law School Columbia University New York NY;","Marsha Blackburn : United States House of Representatives;

Anna G. Eshoo : United States House of Representatives;

Gene Green : United States House of Representatives;

Hilda L. Solis : United States House of Representatives;

John Shimkus : United States House of Representatives;

stearns, clifford b;

Jay Inslee : United States House of Representatives;

John D. Dingell : United States House of Representatives;

pickering, charles w chip, jr;

hastert, j dennis;

Mike Ferguson : United States House of Representatives;

Michael F. Doyle : United States House of Representatives;

Bart Stupak : United States House of Representatives;

Lois Capps : United States House of Representatives;

markey, edward j edmarkey, edward j;

Charles A. Gonzalez : United States House of Representatives;

upton, frederick s;

Jane Harman : United States House of Representatives;

George Radanovich : United States House of Representatives;

Greg Walden : United States House of Representatives;","Yes","11/7/07","-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","Washington

Oklahoma

-

North Dakota

-

Washington

New York","No

No

No

No

No

No

No","Subcommittee on Telecommunications and the Internet",20,"62","32:30:-:-:-","---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---","-

-

-

-

-

-

-"
"6275","Congressional Committee Materials","S. Hrg. 112-362","112th","338",NA,"S. HRG. 112-362 - ASSESSING THE SITUATION IN LIBYA","Congressional Hearings","CHRG-112shrg73913","31-Mar-11","Senate","General","886395","Y 4.F 76/2:S.HRG.112-362",NA,"Refer column R","James E. Risch : United States Senate;

Marco Rubio : United States Senate;

Tom Udall : United States Senate;

Jeanne Shaheen : United States Senate;

Benjamin L. Cardin : United States Senate;

Richard Durbin : United States Senate;

Johnny Isakson : United States Senate;

Richard G. Lugar : United States Senate;

Robert Menendez : United States Senate;

Bob Corker : United States Senate;

John F. Kerry : United States Senate;","Yes","31-03-2011","Kerry, Hon. John F., U.S. Senator from Massachusetts, opening statement

Lugar, Hon. Richard G., U.S. Senator from Indiana, opening staement

Steinberg, Hon. James B., Deputy Secretary of State, U.S. Department of State, Washington, DC

Responses to questions submitted for the record by the following: Senator Richard G. Lugar

(iii) ","-

-

Department of State

-

-","-

-

113

-

-","-

-

1400.0

-

-","-

-

1400.0

-

-","Massachusetts

Indiana

Washington

-

-","No

No

No

No

No","-",11,"19","10:9:-:-:-","---

---

---

---

---

---

---

---

---

---

---","-"
"13078","Congressional Committee Materials",NA,"112th","196",NA,"HOUSE HEARING, 112TH CONGRESS - HOW WELFARE AND TAX BENEFITS CAN DISCOURAGE WORK","Congressional Hearings","CHRG-112hhrg78761","27-Jun-12","House of Representatives","General","896266","Y 4.W 36:112-HR 14/SRM 08",NA,"Refer column R","Kenny Marchant : United States House of Representatives;

Geoff Davis : United States House of Representatives;

Rick Berg : United States House of Representatives;

Adrian Smith : United States House of Representatives;

John B. Larson : United States House of Representatives;

Charles W. Boustany, Jr. : United States House of Representatives;

Richard E. Neal : United States House of Representatives;

Lloyd Doggett : United States House of Representatives;

Patrick J. Tiberi : United States House of Representatives;","Yes","27-06-2012","Advisory of June 27, 2012, announcing the hearing

","-","-","-","-","-","No","Subcommittee on Human Resources and Subcommittee on Select Revenue Measures",9,"39","15:24:-:-:-","---

---

---

---

---

---

---

---

---","-"
"5638","Congressional Committee Materials","S. Hrg. 109-62","109th","344",NA,"S. HRG. 109-62 - CHEMICAL ATTACK ON AMERICA: HOW VULNERABLE ARE WE?","Congressional Hearings","CHRG-109shrg21435","27-Apr-05","Senate","General",NA,"Y 4.G 74/9",NA,"Hon. Carolyn W. Merritt Chairman and Chief Executive Officer : U.S. Chemical Safety and Hazard Investigation Board;

Stephen E. Flynn Ph.D. : Jeane J. Kirkpatrick Senior Fellow for National Security Studies Council on Foreign Relations;

John B. Stephenson Director : Natural Resources and Environment U.S. Government Accountability Office;

Richard A. Falkenrath Ph.D. : Visiting Fellow Foreign Policy Studies The Brookings Institution;","corzine, jon stevens;

George V. Voinovich : United States Senate;

Frank R. Lautenberg : United States Senate;

Ted Stevens : United States Senate;

Joseph I. Lieberman : United States Senate;

Susan M. Collins : United States Senate;

Carl Levin : United States Senate;

Daniel K. Akaka : United States Senate;","Yes","27-04-2005","-","Chemical Safety and Hazard Investigation Board

-

-

-","286

-

-

-","nan

-

-

-","nan

-

-

-","-

-

-

-","No

No

No

No","-",8,"16","7:9:-:-:-","---

---

---

---

---

---

---

---","#NAME?"
"3976","Congressional Committee Materials","S. Hrg. 108-538","108th","362",NA,"S. HRG. 108-538 - HAZARD COMMUNICATION IN THE 21ST CENTURY WORKPLACE","Congressional Hearings","CHRG-108shrg92926","25-Mar-04","Senate","General",NA,"Y 4.L 11/4",NA,"Refer column R","Michael B. Enzi : United States Senate;

Patty Murray : United States Senate;","Yes","25-03-2004",NA,NA,NA,NA,NA,NA,NA,"Subcommittee on Employment, Safety, and Training",2,"21","10:11:-:-:-","---

---","-"
"16959","Congressional Committee Materials",NA,"109th","156",NA,"HOUSE HEARING, 109TH CONGRESS - NETWORK NEUTRALITY: COMPETITION, INNOVATION, AND NONDISCRIMINATORY ACCESS","Congressional Hearings","CHRG-109hhrg27225","25-Apr-06","House of Representatives","General",NA,"Y 4.J 89/1",NA,"Mr. Paul Misener Vice President for Global Public Policy : Amazon.com;

Mr. Timothy Wu Professor of Law : Columbia Law School;

Mr. Walter B. McCormick Jr. : President and Chief Executive Officer United States Telecom Association;

Mr. Earl W. Comstock President and Chief Executive Officer : COMPTEL;","cannon, christopher b;

Zoe Lofgren : United States House of Representatives;

Howard Coble : United States House of Representatives;

John Conyers Jr. : United States House of Representatives;

Maxine Waters : United States House of Representatives;

jackson lee, sheila;

goodlatte, robert w;

van hollen, chris;

Darrell E. Issa : United States House of Representatives;

Daniel E. Lungren : United States House of Representatives;

Adam B. Schiff : United States House of Representatives;","Yes","25-04-2006","-","-

-

-

-","-

-

-

-","-

-

-

-","-

-

-

-","-

-

-

-","No

No

No

No","-",11,"41","18:23:-:-:-","---

---

---

---

---

100:0:6

---

100:0:1

---

---

---","-

-

-

-"
"16734","Congressional Committee Materials",NA,"111th","156",NA,"HOUSE HEARING, 111TH CONGRESS - MEDICAL BANKRUPTCY FAIRNESS ACT","Congressional Hearings","CHRG-111hhrg57432","15-Jul-10","House of Representatives","General","775302","Y 4.J 89/1:111-141",NA,"The Honorable Cecelia G. Morris United States Bankruptcy Judge : Southern District of New York Oral Testimony;

Mr. Peter S. Wright Jr. : Director of Clinical Programs Consumer and Commercial Law Clinic Franklin Pierce Law Center Oral Testimony;

Ms. Aparna Mathur Ph.D. : Resident Scholar American Enterprise Institute Oral Testimony;","Steve King : United States House of Representatives;

Steve Cohen : United States House of Representatives;

Howard Coble : United States House of Representatives;

johnson, henry c hank, jr;

Daniel B. Maffei : United States House of Representatives;

John Conyers, Jr. : United States House of Representatives;

Melvin L. Watt : United States House of Representatives;

scott, robert c;

delahunt, william d;

Judy Chu : United States House of Representatives;

Trent Franks : United States House of Representatives;","Yes","15-07-2010","-","-

-

-","-

-

-","-

-

-","-

-

-","New York

-

-","No

No

No","Subcommittee on Commercial and Administrative Law",11,"43","27:16:-:-:-","---

---

---

---

---

---

---

---

---

---

---","#NAME?"
"17115","Congressional Committee Materials",NA,"109th","156",NA,"HOUSE HEARING, 109TH CONGRESS - SUPREME COURT'S KELO DECISION AND POTENTIAL CONGRESSIONAL RESPONSES","Congressional Hearings","CHRG-109hhrg23573","22-Sep-05","House of Representatives","General",NA,"Y 4.J 89/1",NA,"Mr. Bart Peterson Mayor : City of Indianapolis Indiana;

Mr. Hilary O. Shelton Director : NAACP Washington Bureau;

Ms. Dana Berliner Senior Attorney : Institute for Justice;

Mr. Michael Cristofaro Resident : New London Connecticut;","Jerrold Nadler : United States House of Representatives;

Steve Chabot : United States House of Representatives;

John N. Hostettler : United States House of Representatives;

Tom Feeney : United States House of Representatives;

Trent Franks : United States House of Representatives;","Yes","22-09-2005","-","-

-

-

-","-

-

-

-","-

-

-

-","-

-

-

-","Indiana

Washington

-

Connecticut","No

No

No

No","Subcommittee on the Constitution",5,"41","18:23:-:-:-","---

---

---

---

---","-

-

-

-"
"4232","Congressional Committee Materials","S. Hrg. 108-694","108th","358",NA,"S. HRG. 108-694 - MAXIMIZING VOTER CHOICE: OPENING THE PRESIDENCY TO NATURALIZED AMERICANS","Congressional Hearings","CHRG-108shrg96813","5-Oct-04","Senate","General",NA,"Y 4.J 89/2",NA,"Yinger John : Trustee Professor of Public Administration and Economics Maxwell School of Citizenship and Public Affairs Syracuse University Syracuse New York;

Spalding Matthew : Director B. Kenneth Simon Center of American Studies The Heritage Foundation Washington D.C;

Amar Akhil Reed : Southmayd Professor of Law and Political Science Yale Law School New Haven Connecticut;","conyers, john, jr;

snyder, vic;

rohrabacher, dana;

frank, barney;

Orrin G. Hatch : United States Senate;

Richard Durbin : United States Senate;

Larry E. Craig : United States Senate;

Dianne Feinstein : United States Senate;

issa, darrell;

nickles, don;","Yes","5/10/04","-","-

-

-","-

-

-","-

-

-","-

-

-","New York

Washington

Connecticut","No

No

No","-",10,"19","9:10:-:-:-","---

---

---

---

---

---

---

---

---

---","-

-

-"
"17717","Congressional Committee Materials",NA,"111th","142",NA,"HOUSE HEARING, 111TH CONGRESS - EXAMINING UNIFORMITY IN ELECTION STANDARDS","Congressional Hearings","CHRG-111hhrg52798","15-Jul-09","House of Representatives","General",NA,"Y 4.H 81/3",NA,"-","Kevin McCarthy : United States House of Representatives;

Zoe Lofgren : United States House of Representatives;

Susan A. Davis : United States House of Representatives;

Gregg Harper : United States House of Representatives;

Artur Davis : United States House of Representatives;","Yes","15-07-2009","-","-","-","-","-","-","-","Subcommittee on Elections",5,"9","6:3:-:-:-","---

---

---

---

---","-"
"12028","Congressional Committee Materials",NA,"110th","251",NA,"HOUSE HEARING, 110TH CONGRESS - ENSURING WE HAVE WELL-TRAINED BOOTS ON THE GROUND AT THE BORDER","Congressional Hearings","CHRG-110hhrg48923","19-Jun-07","House of Representatives","General",NA,"Y 4.H 75",NA,"Mr. T.J. Bonner President : National Border Patrol Council American Federation of Government Employees:;

Mr. Richard M. Stana Director : Homeland Security and Justice Government Accountability Office:;

Mr. Art Morgan Director : Field Operations Academy Customs and Border protection:;

Chief Charlie Whitmire Director : Border Patrol Training Academy Customs and Border Protection Department of Homeland Security:;

Mr. Robert B. Rosenkranz Senior Vice-President : Government Services Division DynCorp International:;

Ms. Colleen M. Kelley National President : The National Treasury Employees Union:;

Ms. Cynthia Atwood Assistant Director : Filed Training Directorate Federal Law Enforcement Training Center Department of Homeland Security:;","Ed Perlmutter : United States House of Representatives;

Christopher P. Carney : United States House of Representatives;","Yes","19-06-2007","-","#NAME?","0","0","0","-

-

-

-

-

-

-","No

No

No

No

No

No

No","Subcommittee on Management, Investigations, and Oversight",2,"37","19:18:-:-:-","---

---","-

-

-

-

-

-

-"
"8859","Congressional Committee Materials","S. Hrg. 108-430","108th","321",NA,"S. HRG. 108-430 - NOMINATIONS TO THE DEPARTMENT OF HOMELAND SECURITY, DEPARTMENT OF TRANSPORTATION, AND FEDERAL AVIATION ADMINISTRATION","Congressional Hearings","CHRG-108shrg91361","4-Mar-03","Senate","General",NA,"Y 4.C 73/7",NA,"Sturgell Robert A. : Senior Counsel to the Administrator Federal Aviation Administration;

Shane Hon. Jeffrey N. : Under Secretary for Policy-Designate Department of Transportation;

McQueary Dr. Charles E. : Advisor Department of Homeland Security;

Frankel Hon. Emil H. : Assistant Secretary for Transportation Policy Department of Transportation;","Frank R. Lautenberg : United States Senate;

Byron L. Dorgan : United States Senate;

John McCain : United States Senate;

Trent Lott : United States Senate;

dole, elizabeth hanford;","Yes","4/3/03","-","Federal Aviation Administration

Department of Transportation

Department of Homeland Security

Department of Transportation","178

176

127

176","2120.0

2100.0

1600.0

2100.0","2100.0

2100.0

1600.0

2100.0","-

-

-

-","No

No

No

No","-",5,"23","11:12:-:-:-","---

---

---

---

---","-

-

-

-"
"4623","Congressional Committee Materials","S. Hrg. 109-65","109th","358",NA,"S. HRG. 109-65 - THE NEED FOR COMPREHENSIVE IMMIGRATION REFORM: STRENGTHENING OUR NATIONAL SECURITY","Congressional Hearings","CHRG-109shrg22411","17-May-05","Senate","General",NA,"Y 4.J 89/2",NA,"Reed Mark K. : Border Management Strategies LLC Tucson Arizona;

Stock Margaret D. : American Immigration Lawyers Association Associate Professor of Law Department of Law U.S. Military Academy West Point New York;

Hutchinson Asa : Chair of the Homeland Security Practice Venable LLP former Under Secretary for Border and Transportation Security Department of Homeland Security Washington D.C;","John Cornyn : United States Senate;

Jeff Sessions : United States Senate;

Edward M. Kennedy : United States Senate;

coburn, tom acoburn, thomas allen;

kyl, jon lkyl, jon;

mccain, john;

Dianne Feinstein : United States Senate;","Yes","17-05-2005","-","#NAME?","127","1600","1600","Arizona

New York

Washington","No

No

No","Subcommittee on Immigration, Border Security and Citizenship and Subcommittee on Terrorism, Technology and Homeland Security",7,"18","8:10:-:-:-","---

---

---

---

---

---

---","-

-

-"
"23239","Congressional Committee Materials",NA,"109th","113",NA,"HOUSE HEARING, 109TH CONGRESS - MONETARY POLICY AND THE STATE OF THE ECONOMY","Congressional Hearings","CHRG-109hhrg23738","20-Jul-05","House of Representatives","General",NA,"Y 4.F 49/20",NA,"Greenspan Hon. Alan : Chairman Federal Reserve Board;","Carolyn B. Maloney : United States House of Representatives;

royce, ed;

Michael G. Oxley : United States House of Representatives;

Darlene Hooley : United States House of Representatives;

Artur Davis : United States House of Representatives;

Deborah Pryce : United States House of Representatives;

Michael N. Castle : United States House of Representatives;

James A. Leach : United States House of Representatives;

Paul E. Gillmor : United States House of Representatives;

Sue W. Kelly : United States House of Representatives;

Barney Frank : United States House of Representatives;

Julia Carson : United States House of Representatives;

Ron Paul : United States House of Representatives;

Christopher Shays : United States House of Representatives;

Nydia M. Velazquez : United States House of Representatives;

Jeb Hensarling : United States House of Representatives;

Maxine Waters : United States House of Representatives;

Scott Garrett : United States House of Representatives;

Gwen Moore : United States House of Representatives;

Brad Sherman : United States House of Representatives;

wasserman schultz, debbie;

Barbara Lee : United States House of Representatives;

Stevan Pearce : United States House of Representatives;

Spencer Bachus : United States House of Representatives;

David Scott : United States House of Representatives;

Brad Miller : United States House of Representatives;","Yes","20-07-2005","-","Federal Reserve ","276","7100","7100","-","No","-",26,"71","32:38:1:-:-","---

200:0:6

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

100:0:1

---

---

---

---

---","-"
"11881","Congressional Committee Materials",NA,"110th","251",NA,"HOUSE HEARING, 110TH CONGRESS - DIVERSITY AT DHS: KEEPING PACE OR MISSING THE MARK?","Congressional Hearings","CHRG-110hhrg43714","21-May-08","House of Representatives","General",NA,"Y 4.H 75",NA,"Ms. Elaine C. Duke Under Secretary for Management : Department of Homeland Security:;

Mr. George H. Stalcup Director of Strategic Issues : Government Accountability Office:;

Ms. Stacey D. Stewart Senior Vice President and Chief Diversity Officer : Fannie Mae Corporation:;","Norman D. Dicks : United States House of Representatives;

pascrell, william j, jr;

Bennie G. Thompson : United States House of Representatives;

jackson lee, sheila;

Bob Etheridge : United States House of Representatives;

Peter T. King : United States House of Representatives;

Henry Cuellar : United States House of Representatives;","Yes","21-05-2008","-","Department of Homeland Security

-

-","127

-

-","1600.0

-

-","1600.0

-

-","-

-

-","No

No

No","-",7,"37","19:18:-:-:-","---

---

---

100:0:3

---

---

---","-

-

-"
"21261","Congressional Committee Materials",NA,"108th","128",NA,"HOUSE HEARING, 108TH CONGRESS - THE JUNK FAX PREVENTION ACT OF 2004","Congressional Hearings","CHRG-108hhrg95441","15-Jun-04","House of Representatives","General",NA,"Y 4.C 73/8",NA,"Refer column R","Nathan Deal : United States House of Representatives;

markey, edward j edmarkey, edward j;

wynn, albert r;

Joe Barton : United States House of Representatives;

John Shimkus : United States House of Representatives;

upton, frederick s;

Greg Walden : United States House of Representatives;","Yes","15-06-2004","Graham, John H., President and Chief Executive Officer, American Society of Association Executives

Snowden, K. Dane, Chief, Consumer and Government Affairs Bureau, Federal Communications Commission

Material submitted for the record by: Brady, Phillip D., President, National Automobile Dealers Association, prepared statement of

(iii) ","-

Federal Communications Commission

-

-","-

217

-

-","-

3060.0

-

-","-

3060.0

-

-","-

-

-

-","No

No

No

No","Subcommittee on Telecommunications and the Internet",7,"60","27:33:-:-:-","---

---

---

---

---

---

---","-"
"4668","Congressional Committee Materials","S. Hrg. 106-689","106th","358",NA,"S. HRG. 106-689 - RELIGIOUS LIBERTY","Congressional Hearings","CHRG-106shrg67066","June 23, 1999

September 9, 1999","Senate","General",NA,"Y 4.J 89/2",NA,"Refer column R","Strom Thurmond : United States Senate;

Russell D. Feingold : United States Senate;

Edward M. Kennedy : United States Senate;

Patrick J. Leahy : United States Senate;

Orrin G. Hatch : United States Senate;

grassley, charles e;","Yes","1999-06-23;

1999-09-09","June 23, 1999 Panel consisting of Steven T. McFarland, Center For Law and Religious Freedom, Christian Legal Society, Annandale, VA

Nathan J. Diament, director, Institute For Public Affairs, Union of Orthodox Jewish Congregations of America, Washington, DC

Manuel A. Mira, president, Cardinal Newman Society ForCatholic Higher Education, Washington, DC

Elliot M. Mincberg,vice president and legal director, People For The American Way, Washington, DC

Michael P. Farris, president, Home School LegalDefense Association, Purcellville, VA

Christopher E. Anders,legislative counsel, American Civil Liberties Union, Washington, DC

Scott Hochburg, Texas State Representative,Houston, TX

September 9, 1999 Panel consisting of Douglas Laycock, Alice McKean Young Regents Chair In Law, University of Texas School of Law, Austin, TX

Chai R. Feldblum, Professor of Law, Georgetown University Law Center, Washington, DC

Jay S. Bybee, Professor of Law,University of Nevada, Las Vegas, Las Vegas, NV

Gene C.Schaerr, co-chair, Religious Institutions Practice Group, Sidley and Austin, Washington, DC

","-

-

-

-

-

-

-

-

-

-

-","-

-

-

-

-

-

-

-

-

-

-","-

-

-

-

-

-

-

-

-

-

-","-

-

-

-

-

-

-

-

-

-

-","Virginia

Washington

Washington

Washington

Virginia

Washington

Texas

Texas

Washington

Nevada

Washington","No

No

No

No

No

No

No

No

No

No

No","-",6,"18","8:10:-:-:-","---

---

---

---

---

---","-"
"3708","Congressional Committee Materials","S. Hrg. 112-855","112th","362",NA,"S. HRG. 112-855 - BUILDING THE LADDER OF OPPORTUNITY: WHAT'S WORKING TO MAKE THE AMERICAN DREAM A REALITY FOR MIDDLE-CLASS FAMILIES","Congressional Hearings","CHRG-112shrg86919","26-Jul-11","Senate","General","922932","Y 4.L 11/4:S.HRG.112-855",NA,"Refer column R","Tom Harkin : United States Senate;

Patty Murray : United States Senate;

Jeff Merkley : United States Senate;

Michael B. Enzi : United States Senate;

Lamar Alexander : United States Senate;

Sheldon Whitehouse : United States Senate;

Johnny Isakson : United States Senate;

Richard Blumenthal : United States Senate;

Al Franken : United States Senate;","Yes","26-07-2011",NA,NA,NA,NA,NA,NA,NA,"-",9,"22","11:10:1:-:-","---

---

---

---

---

---

---

---

---","-"
