Keyword(s) for oversight,Agency witness,Witness name,Witness agency,Oversight,Agency witness serving as expert,,Category,Senate.Hearing.Number,Congress,title,Collection,filename,Held.Date,Congress.Chamber,Hearing.Sub.Type,ILS.System.ID,SuDoc.Class.Number
,,,,,,5872,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - FORECLOSURE PREVENTION: IS THE HOME AFFORDABLE MODIFICATION PROGRAM PRESERVING HOMEOWNERSHIP?",Congressional Hearings,CHRG-111hhrg63144,25-Mar-10,House of Representatives,General,813560,Y 4.G 74/7:111-97
,,,,,,10378,Congressional Committee Materials,S. Hrg. 110-1145,110th,S. HRG. 110-1145 - OVERSIGHT OF THE U.S. COAST GUARD BUDGET,Congressional Hearings,CHRG-110shrg75106,6-Mar-08,Senate,General,876877,Y 4.C 73/7:S.HRG.110-1145
,,,,,,22751,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - BALUCHISTAN",Congressional Hearings,CHRG-112hhrg72791,8-Feb-12,House of Representatives,General,868860,Y 4.F 76/1:112-121
,,,,,,15269,Congressional Committee Materials,S. Hrg. 108-859,108th,S. HRG. 108-859 - THE STATUS OF FINANCIAL MANAGEMENT REFORM WITHIN THE DEPARTMENT OF DEFENSE AND THE INDIVIDUAL SERVICES,Congressional Hearings,CHRG-108shrg98318,18-Nov-04,Senate,General,NA,Y 4.2
,,,,,,15029,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - FEDERAL OFFENDER REENTRY AND PROTECTING CHILDREN FROM CRIMINAL RECIDIVISTS",Congressional Hearings,CHRG-108hhrg96288,7-Oct-04,House of Representatives,General,NA,Y 4.J 89/1
,,,,,,9111,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - THE NATIONAL STRATEGY FOR MARITIME SECURITY",Congressional Hearings,CHRG-109hhrg28259,24-Jan-06,House of Representatives,General,NA,Y 4.T 68/2
,,,,,,11480,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - A REVIEW OF REGULATORY PROPOSALS ON BASEL CAPITAL AND COMMERCIAL REAL ESTATE",Congressional Hearings,CHRG-109hhrg31549,14-Sep-06,House of Representatives,General,NA,Y 4.F 49/20
,,,,,,11618,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - THE INTERNATIONAL AFFAIRS BUDGET REQUEST FOR FISCAL YEAR 2007",Congressional Hearings,CHRG-109hhrg26078,16-Feb-06,House of Representatives,General,NA,NA
,,,,,,8457,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - MONETARY POLICY AND THE STATE OF THE ECONOMY, PART I",Congressional Hearings,CHRG-110hhrg41183,26-Feb-07,House of Representatives,General,NA,Y 4.F 49/20
,,,,,,5591,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - FURTHERING THE MISSION OR HAVING FUN: LAX TRAVEL POLICIES COST DHS MILLIONS",Congressional Hearings,CHRG-111hhrg58151,4-Feb-10,House of Representatives,General,826121,Y 4.H 75:111-52
,,,,,,11385,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - GENERATIONS WORKING TOGETHER: FINANCIAL LITERACY AND SOCIAL SECURITY REFORM",Congressional Hearings,CHRG-109hhrg23616,20-Apr-05,House of Representatives,General,NA,Y 4.F 49/20
,,,,,,25052,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - HEARING TO REVIEW RURAL WATER INFRASTRUCTURE",Congressional Hearings,CHRG-111hhrg55885,23-Mar-10,House of Representatives,General,700007,Y 4.AG 8/1:111-45
,,,,,,11169,Congressional Committee Materials,S. Hrg. 110-655,110th,S. HRG. 110-655 - CLOSING THE JUSTICE GAP: PROVIDING CIVIL LEGAL ASSISTANCE TO LOW-INCOME AMERICANS,Congressional Hearings,CHRG-110shrg45653,22-May-08,Senate,General,NA,Y 4.J 89/2
,,,,,,22643,Congressional Committee Materials,S. Hrg. 112,112th,"S. HRG. 112 - AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2013",Congressional Hearings,CHRG-112shrg39104545,19-Apr-12,Senate,Appropriation,NA,Y 4.AP 6/2
,,,,,,7054,Congressional Committee Materials,S. Hrg. 111-4,111th,S. HRG. 111-4 - SALAZAR NOMINATION,Congressional Hearings,CHRG-111shrg47254,15-Jan-09,Senate,General,NA,Y 4.EN 2
,,,,,,23828,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - HEARING ON IMPLEMENTATION OF HEALTH INSURANCE EXCHANGES AND RELATED PROVISIONS",Congressional Hearings,CHRG-112hhrg80694,12-Sep-12,House of Representatives,General,905851,Y 4.W 36:112-HL 15
,,,,,,8469,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - SUBPRIME AND PREDATORY LENDING: NEW REGULATORY GUIDANCE, CURRENT MARKET CONDITIONS, AND EFFECTS ON REGULATED FINANCIAL INSTITUTIONS",Congressional Hearings,CHRG-110hhrg35410,27-Mar-07,House of Representatives,General,NA,Y 4.F 49/20
,,,,,,11128,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - H.R. 1445, THE WORKPLACE RELIGIOUS FREEDOM ACT OF 2005",Congressional Hearings,CHRG-109hhrg24514,10-Nov-05,House of Representatives,General,NA,Y 4.ED 8/1
,,,,,,7273,Congressional Committee Materials,S. Hrg. 111-629,111th,S. HRG. 111-629 - NATO: REPORT OF THE GROUP OF EXPERTS,Congressional Hearings,CHRG-111shrg61622,20-May-10,Senate,General,800475,Y 4.F 76/2:S.HRG.111-629
,,,,,,14363,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - U.S. PREPARATION FOR THE WORLD RADIO CONFERENCES: TOO LITTLE, TOO LATE?",Congressional Hearings,CHRG-108hhrg95268,17-Mar-04,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,6945,Congressional Committee Materials,S. Hrg. 111-480,111th,S. HRG. 111-480 - OVERSIGHT OF THE U.S. COAST GUARD,Congressional Hearings,CHRG-111shrg53264,7-Jul-09,Senate,General,706616,Y 4.C 73/7:S.HRG.111-480
,,,,,,24923,Congressional Committee Materials,S. Hrg. 112-892,112th,"S. HRG. 112-892 - AN EXAMINATION OF SBA PROGRAMS: ELIMINATING INEFFICIENCIES, DUPLICATIONS, FRAUD, AND ABUSE",Congressional Hearings,CHRG-112shrg88373,16-Jun-11,Senate,General,933491,Y 4.SM 1/2:S.HRG.112-892
,,,,,,13555,Congressional Committee Materials,S. Hrg. 109-591,109th,S. HRG. 109-591 - HURRICANE KATRINA: PERSPECTIVES OF FEMA'S OPERATIONS PROFESSIONALS,Congressional Hearings,CHRG-109shrg26744,8-Dec-05,Senate,General,NA,Y 4.G 74/9
,,,,,,12717,Congressional Committee Materials,S. Hrg. 109,109th,S. HRG. 109 - DEPARTMENT OF HOMELAND SECURITY APPROPRIATIONS FOR FISCAL YEAR 2006,Congressional Hearings,CHRG-109shrg49104160,28-Apr-05,Senate,Appropriation,NA,Y 4.AP 6/2
,,,,,,12185,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - DIGITAL DIVIDENDS AND OTHER PROPOSALS TO LEVERAGE INVESTMENT IN TECHNOLOGY",Congressional Hearings,CHRG-108hhrg90729,19-Nov-03,House of Representatives,General,NA,Y 4.C 73/8
,,,,,,25428,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - THE FUTURE OF COAL UNDER CLIMATE LEGISLATION",Congressional Hearings,CHRG-111hhrg67098,10-Mar-09,House of Representatives,General,864754,Y 4.C 73/8:111-10
,,,,,,5636,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - HEARING ON THE 2008 AUDIT REVIEW AND AGENCY SPENDING BY THE ELECTION ASSISTANCE COMMISSION",Congressional Hearings,CHRG-111hhrg52315,1-Apr-09,House of Representatives,General,NA,Y 4.H 81/3
,,,,,,5763,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - STAKEHOLDERS' VIEWS ON THE NATIONAL ARCHIVES AND RECORDS ADMINISTRATION [NARA]",Congressional Hearings,CHRG-111hhrg54079,21-May-09,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,14862,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - TO EXAMINE RECENT FAILURE TO PROTECT CHILD SAFETY",Congressional Hearings,CHRG-108hhrg92618,6-Nov-03,House of Representatives,General,NA,Y 4.W 36
,,,,,,16107,Congressional Committee Materials,S. Hrg. 108-919,108th,S. HRG. 108-919 - AN EXAMINATION OF SECTION 211 OF THE OMNIBUS APPROPRIATIONS ACT OF 1998,Congressional Hearings,CHRG-108shrg42491,13-Jul-04,Senate,General,NA,Y 4.J 89/2
,,,,,,9914,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - VOTING SECTION OF THE CIVIL RIGHTS DIVISION OF THE U.S. DEPARTMENT OF JUSTICE",Congressional Hearings,CHRG-110hhrg38637,30-Oct-07,House of Representatives,General,NA,Y 4.J 89/1
,,,,,,7138,Congressional Committee Materials,S. Hrg. 111-751,111th,S. HRG. 111-751 - LOAN GUARANTEE PROGRAM,Congressional Hearings,CHRG-111shrg62706,23-Sep-10,Senate,General,809771,Y 4.EN 2:S.HRG.111-751
,,,,,,23964,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - FEDERAL CONSENT DECREE FAIRNESS ACT, AND THE SUNSHINE FOR REGULATORY DECREES AND SETTLEMENTS ACT OF 2012",Congressional Hearings,CHRG-112hhrg72693,3-Feb-12,House of Representatives,General,870471,Y 4.J 89/1:112-83
,,,,,,23845,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - THE NEED FOR PRO-GROWTH TAX REFORM",Congressional Hearings,CHRG-112hhrg68156,14-Sep-11,House of Representatives,General,868758,Y 4.B 85/3:112-14
,,,,,,5895,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - GENERAL SERVICES ADMINISTRATION'S FISCAL YEAR 2010 CAPITAL INVESTMENT AND LEASING PROGRAM (CILP)",Congressional Hearings,CHRG-111hhrg50973,8-Jul-09,House of Representatives,General,NA,Y 4.T 68/2
,,,,,,12850,Congressional Committee Materials,S. Hrg. 109-676,109th,S. HRG. 109-676 - MONEY LAUNDERING AND TERROR FINANCING ISSUES IN THE MIDDLE EAST,Congressional Hearings,CHRG-109shrg30837,13-Jul-05,Senate,General,NA,Y 4.B 22/3
,,,,,,22822,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - ENSURING THE TRANSPARENCY, EFFICIENCY, AND EFFECTIVENESS OF HOMELAND SECURITY GRANTS",Congressional Hearings,CHRG-112hhrg76604,"March 20, 2012April 26, 2012",House of Representatives,General,894327,Y 4.H 75:112-77
,,,,,,22237,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - EDUCATION REFORMS: PROMOTING FLEXIBILITY AND INNOVATION",Congressional Hearings,CHRG-112hhrg65498,7-Apr-11,House of Representatives,General,823480,Y 4.ED 8/1:112-17
,,,,,,15614,Congressional Committee Materials,S. Hrg. 108-121,108th,S. HRG. 108-121 - STATUS OF TRIBAL FISH AND WILDLIFE MANAGEMENT PROGRAMS,Congressional Hearings,CHRG-108shrg87608,3-Jun-03,Senate,General,NA,Y 4.IN 2/11
,,,,,,9074,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - WHITE HOUSE PROCEDURES FOR SAFEGUARDING CLASSIFIED INFORMATION",Congressional Hearings,CHRG-110hhrg38579,16-Mar-07,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,14893,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - FAILURE TO PROTECT CHILD SAFETY",Congressional Hearings,CHRG-108hhrg99679,17-Jun-04,House of Representatives,General,NA,Y 4.W 36
,,,,,,7089,Congressional Committee Materials,S. Hrg. 111-290,111th,S. HRG. 111-290 - CLIMATE CHANGE ON FEDERAL FORESTS,Congressional Hearings,CHRG-111shrg55124,18-Nov-09,Senate,General,693047,Y 4.EN 2:S.HRG.111-290
,,,,,,23584,Congressional Committee Materials,S. Hrg. 111,111th,"S. HRG. 111 - DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2010",Congressional Hearings,CHRG-111shrg89104370,3-Jun-09,Senate,Appropriation,NA,Y 4.AP 6/2
,,,,,,24433,Congressional Committee Materials,S. Hrg. 112-486,112th,S. HRG. 112-486 - RESOLUTION COPPER,Congressional Hearings,CHRG-112shrg75271,9-Feb-12,Senate,General,876633,Y 4.EN 2:S.HRG.112-486
,,,,,,5226,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - MORTGAGE LENDING REFORM: A COMPREHENSIVE REVIEW OF THE AMERICAN MORTGAGE SYSTEM",Congressional Hearings,CHRG-111hhrg48864,11-Mar-09,House of Representatives,General,NA,NA
,,,,,,16075,Congressional Committee Materials,S. Hrg. 108-686,108th,S. HRG. 108-686 - REFUGEES: SEEKING SOLUTIONS TO A GLOBAL CONCERN,Congressional Hearings,CHRG-108shrg96611,21-Sep-04,Senate,General,NA,Y 4.J 89/2
,,,,,,11215,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - [H.A.S.C. NO. 109-105] IMPROVING INTERAGENCY COORDINATION FOR THE GLOBAL WAR ON TERROR AND BEYOND",Congressional Hearings,CHRG-109hhrg32971,4-Apr-06,House of Representatives,General,NA,Y 4.AR 5/2
,,,,,,23772,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - FIELD HEARING ON SOCIAL SECURITY NUMBERS AND CHILD IDENTITY THEFT",Congressional Hearings,CHRG-112hhrg74006,1-Sep-11,House of Representatives,General,876925,Y 4.W 36:112-SS 9
,,,,,,10363,Congressional Committee Materials,S. Hrg. 110-1131,110th,S. HRG. 110-1131 - NATIONAL NANOTECHNOLOGY INITIATIVE: CHARTING THE COURSE FOR REAUTHORIZATION,Congressional Hearings,CHRG-110shrg74321,24-Apr-08,Senate,Authorization,881718,Y 4.C 73/7:S.HRG.110-1131
,,,,,,6270,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - LEGISLATIVE HEARING ON H.R. 1293, H.R. 1197, H.R. 1302, H.R. 1335, H.R. 1546, H.R. 2734, H.R. 2738, H.R. 2770, H.R. 2898 AND DRAFT DISCUSSION LEGISLATION",Congressional Hearings,CHRG-111hhrg51868,18-Jun-09,House of Representatives,General,NA,Y 4.V 64/3
,,,,,,23647,Congressional Committee Materials,S. Hrg. 111,111th,S. HRG. 111 - DEPARTMENT OF DEFENSE APPROPRIATIONS FOR FISCAL YEAR 2011,Congressional Hearings,CHRG-111shrg99104386,24-Mar-10,Senate,Appropriation,NA,Y 4.AP 6/2
,,,,,,13550,Congressional Committee Materials,S. Hrg. 109-581,109th,S. HRG. 109-581 - ACCESS DELAYED: FIXING THE SECURITY CLEARANCE PROCESS -- PART II,Congressional Hearings,CHRG-109shrg24930,9-Nov-05,Senate,General,NA,Y 4.G 74/9
,,,,,,10759,Congressional Committee Materials,S. Hrg. 110-717,110th,S. HRG. 110-717 - RESPONDING TO THE GLOBAL FOOD CRISIS,Congressional Hearings,CHRG-110shrg47118,14-May-08,Senate,General,NA,Y 4.F 76/2
,,,,,,5811,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - MEDICAID'S EFFORTS TO REFORM SINCE THE PREVENTABLE DEATH OF DEAMONTE DRIVER: A PROGRESS REPORT",Congressional Hearings,CHRG-111hhrg64919,7-Oct-09,House of Representatives,General,825835,Y 4.G 74/7:111-129
,,,,,,10712,Congressional Committee Materials,S. Hrg. 110-330,110th,S. HRG. 110-330 - SBA REAUTHORIZATION: SMALL BUSINESS VENTURE CAPITAL PROGRAMS,Congressional Hearings,CHRG-110shrg39927,21-Jun-07,Senate,Authorization,NA,Y 4.SM 1/2
,,,,,,24260,Congressional Committee Materials,S. Hrg. 112-582,112th,S. HRG. 112-582 - RETIREMENT (IN)SECURITY: EXAMINING THE RETIREMENT SAVINGS DEFICIT,Congressional Hearings,CHRG-112shrg76451,28-Mar-12,Senate,General,901105,Y 4.B 22/3:S.HRG.112-582
,,,,,,5392,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - THE SUMMIT OF THE AMERICAS: A NEW BEGINNING FOR U.S. POLICY IN THE REGION?",Congressional Hearings,CHRG-111hhrg48000,11-Mar-09,House of Representatives,General,NA,Y 4.F 76/1
,,,,,,14432,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - PRIVATE SECTOR CONSULTANTS AND FEDERAL FINANCIAL MANAGEMENT: MORE THAN BALANCING THE BOOKS",Congressional Hearings,CHRG-108hhrg97555,16-Jun-04,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,8394,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - OVERSIGHT OF THE FEDERAL COMMUNICATIONS COMMISSION",Congressional Hearings,CHRG-110hhrg51758,15-Apr-08,House of Representatives,General,NA,Y 4.C 73/8
,,,,,,21997,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - H.R. 1980, H.R. 2070, H.R. 2621, AND H.R. 3155",Congressional Hearings,CHRG-112hhrg71119,3-Nov-11,House of Representatives,General,889772,Y 4.R 31/3:112-81
,,,,,,5878,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - CONTINUING TO DELIVER: AN EXAMINATION OF THE POSTAL SERVICE'S CURRENT FINANCIAL CRISIS AND ITS FUTURE VIABILITY",Congressional Hearings,CHRG-111hhrg58338,15-Apr-10,House of Representatives,General,795969,NA
,,,,,,8664,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - VULTURE FUNDS AND THE THREAT TO DEBT RELIEF IN AFRICA: A CALL TO ACTION AT THE G-8 AND BEYOND",Congressional Hearings,CHRG-110hhrg35672,22-May-07,House of Representatives,General,NA,NA
,,,,,,6943,Congressional Committee Materials,S. Hrg. 111-11,111th,S. HRG. 111-11 - LOAN GUARANTEE PROGRAM,Congressional Hearings,CHRG-111shrg48618,12-Feb-09,Senate,General,NA,Y 4.EN 2
,,,,,,7940,Congressional Committee Materials,S. Hrg. 111-603,111th,S. HRG. 111-603 - HEARING ON AGING IN PLACE: THE NATIONAL BROADBAND PLAN AND BRINGING HEALTHCARE TECHNOLOGY HOME,Congressional Hearings,CHRG-111shrg57982,22-Apr-10,Senate,General,750320,Y 4.AG 4:S.HRG.111-603
,,,,,,25184,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - [H.A.S.C. NO. 111-23 ] THE STATUS OF U.S. STRATEGIC FORCES",Congressional Hearings,CHRG-111hhrg51759,17-Mar-09,House of Representatives,General,701000,Y 4.AR 5/2 A:2009-2010/23
,,,,,,14559,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - ACCESS TO THE CALIFORNIA DESERT CONSERVATION DISTRICT",Congressional Hearings,CHRG-108hhrg88929,18-Aug-03,House of Representatives,Oversight,NA,Y 4.R 31/3
,,,,,,15946,Congressional Committee Materials,S. Hrg. 108-125,108th,S. HRG. 108-125 - IMPACTS ON TRIBAL FISH AND WILDLIFE MANAGEMENT PROGRAMS IN THE PACIFIC NORTHWEST,Congressional Hearings,CHRG-108shrg87846,4-Jun-03,Senate,General,NA,Y 4.IN 2/11
,,,,,,16092,Congressional Committee Materials,S. Hrg. 108-813,108th,S. HRG. 108-813 - WHAT IS NEEDED TO DEFEND THE BIPARTISAN DEFENSE OF MARRIAGE ACT OF 1996?,Congressional Hearings,CHRG-108shrg92369,4-Sep-03,Senate,General,NA,Y 4.J 89/2
,,,,,,23286,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - AMERICA'S ENERGY FUTURE PART II: A BLUEPRINT FOR DOMESTIC ENERGY PRODUCTION",Congressional Hearings,CHRG-112hhrg75521,14-Jul-12,House of Representatives,General,878923,Y 4.G 74/7:112-165
,,,,,,23397,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - THE ROLE OF THE INTERNATIONAL MONETARY FUND AND THE FEDERAL RESERVE IN STABILIZING EUROPE",Congressional Hearings,CHRG-111hhrg58048,20-May-10,House of Representatives,General,782669,Y 4.F 49/20:111-138
,,,,,,7839,Congressional Committee Materials,S. Hrg. 111,111th,S. HRG. 111 - NOVEMBER OVERSIGHT REPORT,Congressional Hearings,CHRG-111shrg53348,6-Nov-09,Senate,General,NA,NA
,,,,,,14308,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - DECISION TIME: A NEW HUMAN RESOURCES MANAGEMENT SYSTEM AT THE DEPARTMENT OF HOMELAND SECURITY",Congressional Hearings,CHRG-108hhrg94775,29-Oct-03,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,12262,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - SCIENTIFIC RESEARCH AND THE KNOWLEDGE-BASE CONCERNING FOREST MANAGEMENT FOLLOWING WILDFIRES AND OTHER MAJOR DISTURBANCES",Congressional Hearings,CHRG-109hhrg26461,24-Feb-06,House of Representatives,Oversight,NA,Y 4.R 31/3
,,,,,,9025,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - H.R. 3994, DEPARTMENT OF THE INTERIOR TRIBAL SELF-GOVERNANCE ACT OF 2007",Congressional Hearings,CHRG-110hhrg38969,8-Nov-07,House of Representatives,General,NA,Y 4.R 31/3
,,,,,,9884,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - GANG CRIME PREVENTION AND THE NEED TO FOSTER INNOVATIVE SOLUTIONS AT THE FEDERAL LEVEL",Congressional Hearings,CHRG-110hhrg38112,2-Oct-07,House of Representatives,General,NA,Y 4.J 89/1
,,,,,,15799,Congressional Committee Materials,S. Hrg. 108-169,108th,S. HRG. 108-169 - NOWHERE TO TURN: MUST PARENTS RELINQUISH CUSTODY IN ORDER TO SECURE MENTAL HEALTH SERVICES FOR THEIR CHILDREN? PART ONE: FAMILIES AND ADVOCATES,Congressional Hearings,CHRG-108shrg88933,"July 15, 2003July 17, 2003",Senate,General,NA,Y 4.G 74/9
,,,,,,9762,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - PENSION BENEFIT GUARANTY CORPORATION",Congressional Hearings,CHRG-110hhrg48943,24-Sep-08,House of Representatives,General,NA,Y 4.W 36
,,,,,,11937,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - TRANSIT ZONE OPERATIONS: CAN WE SUSTAIN RECORD SEIZURES WITH DECLINING RESOURCES?",Congressional Hearings,CHRG-109hhrg30898,26-Apr-06,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,24049,Congressional Committee Materials,NA,112th,"JOINT HEARING, 112TH CONGRESS - JOINT HEARING TO RECEIVE LEGISLATIVE PRESENTATION OF THE DISABLED AMERICAN VETERANS (DAV)",Congressional Hearings,CHRG-112jhrg73291,28-Feb-12,Joint,General,910817,NA
,,,,,,7633,Congressional Committee Materials,S. Hrg. 111-202,111th,S. HRG. 111-202 - PATENT REFORM IN THE 111TH CONGRESS: LEGISLATION AND RECENT COURT DECISIONS,Congressional Hearings,CHRG-111shrg54059,10-Mar-09,Senate,General,NA,Y 4.J 89/2
,,,,,,24833,Congressional Committee Materials,S. Hrg. 112-353,112th,S. HRG. 112-353 - OVERSIGHT OF THE U.S. DEPARTMENT OF JUSTICE,Congressional Hearings,CHRG-112shrg73839,4-May-11,Senate,General,871754,Y 4.J 89/2:S.HRG.112-353
,,,,,,22372,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - LEGISLATIVE HEARING TO ADDRESS SPECTRUM AND PUBLIC SAFETY ISSUES",Congressional Hearings,CHRG-112hhrg73418,15-Jul-11,House of Representatives,General,879509,Y 4.C 73/8:112-76
,,,,,,24020,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - TEN YEARS IN THE WTO: HAS CHINA KEPT ITS PROMISES?",Congressional Hearings,CHRG-112hhrg74026,13-Dec-11,House of Representatives,General,874865,NA
,,,,,,24630,Congressional Committee Materials,S. Hrg. 112-73,112th,S. HRG. 112-73 - STATE DEPARTMENT TRAINING: INVESTING IN THE WORKFORCE TO ADDRESS 21ST CENTURY CHALLENGES,Congressional Hearings,CHRG-112shrg66678,8-Mar-11,Senate,General,837277,Y 4.G 74/9:S.HRG.112-73
,,,,,,7056,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - THE NATIONAL ENDOWMENT FOR THE HUMANITIES AND THE NATIONAL ENDOWMENT FOR THE ARTS: OVERVIEW OF PROGRAMS AND NATIONAL IMPACT",Congressional Hearings,CHRG-110hhrg41983,8-May-08,House of Representatives,General,NA,Y 4.ED 8/1
,,,,,,8320,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - CYBER SECURITY CHALLENGES AT THE DEPARTMENT OF ENERGY",Congressional Hearings,CHRG-109hhrg29892,9-Jun-06,House of Representatives,General,NA,Y 4.C 73/8
,,,,,,25578,Congressional Committee Materials,S. Hrg. 112-202,112th,"S. HRG. 112-202 - PEACE CORPS, THE NEXT 50 YEARS",Congressional Hearings,CHRG-112shrg72395,6-Oct-11,Senate,General,864653,Y 4.F 76/2:S.HRG.112-202
,,,,,,9391,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - THE DEPARTMENT OF HOMELAND SECURITY'S R&D BUDGET PRIORITIES FOR FISCAL YEAR 2009",Congressional Hearings,CHRG-110hhrg40942,6-Mar-08,House of Representatives,General,NA,Y 4.SCI 2
,,,,,,23116,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - FINANCIAL MANAGEMENT, WORK FORCE, AND OPERATIONS AT THE SEC: WHO'S WATCHING WALL STREET'S WATCHDOG",Congressional Hearings,CHRG-112hhrg67368,10-Mar-11,House of Representatives,General,834084,Y 4.G 74/7:112-11
,,,,,,22794,Congressional Committee Materials,S. Hrg. 111,111th,"S. HRG. 111 - AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2011",Congressional Hearings,CHRG-111shrg99104396,9-Mar-10,Senate,Appropriation,NA,Y 4.AP 6/2
,,,,,,7882,Congressional Committee Materials,S. Hrg. 111-383,111th,S. HRG. 111-383 - THE EMPLOYMENT SITUATION: OCTOBER 2009,Congressional Hearings,CHRG-111shrg55564,6-Nov-09,Senate,General,686788,Y 4.EC 7:S.HRG.111-383
,,,,,,7421,Congressional Committee Materials,S. Hrg. 111-155,111th,S. HRG. 111-155 - EXCESSIVE SPECULATION IN THE WHEAT MARKET,Congressional Hearings,CHRG-111shrg53114,21-Jul-09,Senate,General,NA,Y 4.G 74/9
,,,,,,22734,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - COMPACT OF FREE ASSOCIATION WITH THE REPUBLIC OF PALAU: ASSESSING THE 15-YEAR REVIEW",Congressional Hearings,CHRG-112hhrg71398,30-Nov-11,House of Representatives,General,864274,Y 4.F 76/1:112-84
